course_id,year,semester,term_id,session_id,subject,course_number,class_number,units_min,units_max,grading_basis,final_exam,view_count
161725,2026,Fall,2268,1,AEROENG,1,001,1.0,1.0,PNP,A,157
162181,2026,Fall,2268,1,AEROENG,10,001,4.0,4.0,OPT,Y,112
166420,2026,Fall,2268,1,AEROENG,100,001,4.0,4.0,OPT,A,66
168794,2026,Fall,2268,1,AEROENG,122,001,3.0,3.0,OPT,Y,7
164194,2026,Fall,2268,1,AEROENG,197,001,0.5,4.0,PNP,A,0
168514,2026,Fall,2268,1,AEROENG,C124,01,3.0,3.0,OPT,Y,14
115512,2026,Fall,2268,1,AEROENG,C136,01,3.0,3.0,OPT,Y,63
164231,2026,Fall,2268,1,AEROENG,C136S,201,1.0,1.0,OPT,N,28
162932,2026,Fall,2268,1,AEROENG,C162,001,3.0,3.0,OPT,Y,66
164794,2026,Fall,2268,1,AEROENG,C166,001,3.0,3.0,OPT,Y,46
166383,2026,Fall,2268,1,AEROENG,C193P,001,4.0,4.0,OPT,A,95
100004,2026,Fall,2268,1,AEROSPC,100,001,0.0,0.0,PNP,N,52
100004,2026,Fall,2268,1,AEROSPC,100,002,0.0,0.0,PNP,N,0
100005,2026,Fall,2268,1,AEROSPC,135A,001,3.0,3.0,OPT,Y,31
100005,2026,Fall,2268,1,AEROSPC,135A,002,3.0,3.0,OPT,Y,0
100002,2026,Fall,2268,1,AEROSPC,1A,001,1.0,1.0,OPT,Y,85
100002,2026,Fall,2268,1,AEROSPC,1A,002,1.0,1.0,OPT,Y,44
100008,2026,Fall,2268,1,AEROSPC,2A,001,1.0,1.0,OPT,Y,121
100008,2026,Fall,2268,1,AEROSPC,2A,002,1.0,1.0,OPT,Y,101
100018,2026,Fall,2268,1,AFRICAM,100,001,4.0,4.0,OPT,Y,0
100019,2026,Fall,2268,1,AFRICAM,101,001,4.0,4.0,OPT,A,45
100016,2026,Fall,2268,1,AFRICAM,10A,001,4.0,4.0,OPT,Y,85
100016,2026,Fall,2268,1,AFRICAM,10A,UC01,4.0,4.0,OPT,Y,0
100032,2026,Fall,2268,1,AFRICAM,114,001,3.0,3.0,OPT,Y,0
100034,2026,Fall,2268,1,AFRICAM,116,001,4.0,4.0,OPT,Y,0
100036,2026,Fall,2268,1,AFRICAM,118,001,3.0,3.0,OPT,Y,25
100024,2026,Fall,2268,1,AFRICAM,11A,001,4.0,4.0,OPT,Y,59
100024,2026,Fall,2268,1,AFRICAM,11A,UC01,4.0,4.0,OPT,Y,0
100054,2026,Fall,2268,1,AFRICAM,136,001,3.0,3.0,OPT,Y,0
156009,2026,Fall,2268,1,AFRICAM,136L,001,3.0,3.0,OPT,A,14
156009,2026,Fall,2268,1,AFRICAM,136L,UC01,3.0,3.0,OPT,A,0
100058,2026,Fall,2268,1,AFRICAM,139,001,4.0,4.0,OPT,Y,19
100058,2026,Fall,2268,1,AFRICAM,139,002,4.0,4.0,OPT,Y,26
100071,2026,Fall,2268,1,AFRICAM,144,001,4.0,4.0,OPT,Y,27
100086,2026,Fall,2268,1,AFRICAM,153C,001,3.0,3.0,OPT,Y,0
100094,2026,Fall,2268,1,AFRICAM,159,001,4.0,4.0,OPT,Y,33
100094,2026,Fall,2268,1,AFRICAM,159,003,4.0,4.0,OPT,Y,37
100072,2026,Fall,2268,1,AFRICAM,15A,001,4.0,4.0,OPT,Y,0
100072,2026,Fall,2268,1,AFRICAM,15A,UC01,4.0,4.0,OPT,Y,0
125766,2026,Fall,2268,1,AFRICAM,165,001,4.0,4.0,OPT,Y,0
157864,2026,Fall,2268,1,AFRICAM,18A,001,4.0,4.0,OPT,Y,35
157864,2026,Fall,2268,1,AFRICAM,18A,UC01,4.0,4.0,OPT,Y,0
157865,2026,Fall,2268,1,AFRICAM,18B,001,4.0,4.0,OPT,Y,0
147886,2026,Fall,2268,1,AFRICAM,194A,001,2.0,2.0,OPT,A,0
147886,2026,Fall,2268,1,AFRICAM,194A,002,2.0,2.0,OPT,A,0
147886,2026,Fall,2268,1,AFRICAM,194A,003,2.0,2.0,OPT,A,11
147888,2026,Fall,2268,1,AFRICAM,195,001,3.0,3.0,OPT,A,5
100105,2026,Fall,2268,1,AFRICAM,197,001,1.0,4.0,PNP,N,0
