course_id,subject,course_number,title,description,requirements,academic_career,department,department_nicknames,typically_offered
161725,AEROENG,1,Aerospace Engineering 1 Seminar,This is a freshman-level seminar course offered every Fall semester consisting of general-audience lectures by leading practitioners of aerospace engineering from the Bay Area and beyond. This seminar will be coordinated by a faculty member in charge of identifying and scheduling the speakers. ,,UGRD,Mechanical Engineering,,
162181,AEROENG,10,Introduction to Aerospace Engineering Design,"This course introduces mathematical engineering concepts and a wide range of analysis and design techniques of relevance to aerospace engineering via approximately 3-week modules covering the following topics: dynamics and control of a small quad-rotor aircraft; dynamics of elliptic, hyperbolic, and parabolic orbits, including rendezvous of objects in the same circular orbit; control volume analysis of a rocket engine; sling-shot effect to drive space probes into space; thermal control in outer space; optimization of airfoils using morphing techniques; rapid prototyping-assisted design of lightweight materials.","Prerequisite: MATH 51, MATH 52, MATH 53 (may be taken concurrently), PHYSICS 7A; and programming (COMPSCI 61A or ENGIN 7).",UGRD,Mechanical Engineering,,
166420,AEROENG,100,Aerospace Capstone,"This capstone course challenges students to integrate their aerospace knowledge to design, analyze and build a system for an aerospace mission. Students can choose to focus on astronautical satellite systems or aeronautical drone systems. The course covers topics including structures, materials and environments, orbital and flight mechanics, attitude determination, stability and control, aeronautical and astronautical propulsion, aerodynamics, communications, and systems engineering.",MECENG 103; MECENG 104; MECENG 132; and MECENG 106.,UGRD,Mechanical Engineering,,
168794,AEROENG,122,Earth Observation Systems and Technologies,"This course introduces engineering students to the technologies, architectures, and design tradeoffs behind modern space-based Earth observation systems. Topics include the history of Earth observation from early space missions to modern commercial constellations; fundamentals of remote sensing physics; optical, multispectral, hyperspectral, thermal infrared, synthetic aperture radar, radio-frequency, and related sensing modalities; spacecraft payloads and instrument design; orbit selection and constellation architecture; pointing, stability, and platform constraints; onboard processing; communications and downlink; ground segment and data pipelines; and multi-sensor Earth intelligence systems.",,UGRD,Mechanical Engineering,,
164194,AEROENG,197,Undergraduate Aerospace Engineering Field Studies,"Supervised field experience relative to specific aspects of practice in aerospace engineering. Under guidance of a faculty member, the student will work in government or industry, primarily in an internship setting or related type of short-time project. Emphasis is placed on attaining practical experience in the aerospace engineering field.
",,UGRD,Mechanical Engineering,,
168514,AEROENG,C124,Materials for Extreme Environments,"This course introduces engineering students to materials in extreme environments, the engineering challenges faced with engineering material systems to withstand extreme environments, and the design and analysis tools used to for material selection and design for operation within these environments. Example systems that experience extreme environments will be used to drive discussions: e.g. Commercial Jets, the SR-71, the F-117/B2, Satellites, Jet engines, Propulsion systems (rocket nozzles and scramjets), Re-entry (nose cones and leading edges), Fission and Fusion reactors for nuclear thermal propulsion and power generation etc…","ENGIN 40 (Thermodynamics of Materials) or MEC ENG 40 (Thermodynamics)
ME C85/ CE C30 (Introduction to Solid Mechanics)",UGRD,Mechanical Engineering,,
115512,AEROENG,C136,Dynamics and Control of Autonomous Flight,"This course introduces students to the dynamics and control of autonomous flight, with focus on uninhabited aerial vehicles (UAVs). The course will cover modeling and dynamics of aerial vehicles, and common control strategies.",MEC ENG 104 recommended; MEC ENG 132 (corequisite),UGRD,Mechanical Engineering,,
164231,AEROENG,C136S,Software Laboratory: Dynamics and Control of Autonomous Flight,"This course complements MEC ENG 136, Introduction to Control of Unmanned Aerial Vehicles. The aim is to provide (virtual) laboratory experiments corresponding to the theory provided in MEC ENG 136. Students may work alone or in teams.  ",MEC ENG 136 (co-requisite),UGRD,Mechanical Engineering,,
162932,MECENG,C162,Introduction to Flight Mechanics,"This course introduces flight mechanics and a wide range of analysis and design techniques of relevance to the flight and performance characteristics of aerospace vehicles. The course consists of 6 major modules with the following topics: introduction, flow types, lift and drag, aircraft performance, stability and control, and, prominently, space flight. The entire course is enriched with numerous practical examples from real life that help to understand the practical use of the subject matter.",MATH 52; PHYSICS 7A; and MEC ENG 106 (may be taken concurrently),UGRD,Mechanical Engineering,,
164794,MECENG,C166,Introduction to Compressible Flow,"This course introduces the theory of compressible flows (gases) and the mathematics representation of different flow regimes. Students will learn about the governing equations of general compressible flows and special cases such as inviscid and irrotational flows. The course will cover the following topics: 1D-flow, converging-diverging nozzle, normal and oblique shock definitions and practical examples for aerospace applications, Mach waves, wave equation, shock tube, transonic flow, supersonic flow, method of characteristics, and an introduction to hypersonic flows. Practical examples of aerospace applications such as turbomachinery flows, flow past an airfoil and a 3D wing will be included.","MEC ENG 104, MEC ENG 163",UGRD,Mechanical Engineering,,
166383,AEROENG,C193P,The Final Frontier? Space Technology and National Security Policy,"This course explores the intersection of space and national security policy, focusing on the impacts of the evolving strategic environment in space. Students examine the key actors, technologies, and policy frameworks that shape the role of space in the global economy and in modern defense. Topics include: satellite technologies, the militarization of space, the role of private industry in the domain, and governance challenges posed by emerging technologies. The course engages with case studies on U.S., Russian, and Chinese space policies, and international efforts to govern space. By the end of the course, students will understand how space capabilities influence international security and are prepared to take part in policy debates.",,UGRD,Mechanical Engineering,,
100004,AEROSPC,100,Leadership Laboratory,"Leadership Lab (LLAB) represents the hands-on portion of the Aerospace Studies courses.  It presents a dynamic and integrated grouping of leadership developmental activities. LLAB is a student planned, organized, and executed practicum intended to maximize cadet leadership experience and preparation for easy transition to their active duty assignments. It is conducted under the supervision of AFROTC cadre. The course focuses on the leadership experiences of senior and junior cadets and provides training in basic military knowledge and skills to underclass cadets. Cadets are trained on proper uniform wear, grooming and appearance requirements, physical fitness, knowledge of military customs and courtesies, and military drill and ceremony.",Consent of instructor. ,UGRD,Military Affairs Program,,
