course_id,subject,course_number,prereq_subject,prereq_number
162181,AEROENG,10,MATH,51
162181,AEROENG,10,MATH,52
162181,AEROENG,10,MATH,53
162181,AEROENG,10,PHYSICS,7A
162181,AEROENG,10,COMPSCI,61A
162181,AEROENG,10,ENGIN,7
166420,AEROENG,100,MECENG,103
166420,AEROENG,100,MECENG,104
166420,AEROENG,100,MECENG,132
166420,AEROENG,100,MECENG,106
168514,AEROENG,C124,ENGIN,40
162932,MECENG,C162,MATH,52
162932,MECENG,C162,PHYSICS,7A
100552,ANTHRO,106,BIOLOGY,32
100603,ANTHRO,127A,BIOLOGY,1B
100653,ANTHRO,150,ANTHRO,3
100923,ARABIC,100A,ARABIC,20B
100923,ARABIC,100A,ARABIC,30
100928,ARABIC,104A,ARABIC,20B
100928,ARABIC,104A,ARABIC,30
100918,ARABIC,1A,ARABIC,1A
100918,ARABIC,1A,ARABIC,1B
100920,ARABIC,1B,ARABIC,1A
100965,ARABIC,20A,ARABIC,1B
100965,ARABIC,20A,ARABIC,10
100996,ARCH,100A,ARCH,11A
100996,ARCH,100A,ARCH,11B
100998,ARCH,100C,ARCH,100B
101059,ARCH,150,PHYSICS,8A
101355,ART,102,ART,8
101355,ART,102,ART,13
154855,ART,103,ART,13
157724,ART,116,ART,8
157724,ART,116,ART,12
101370,ART,118,ART,12
101380,ART,132,ART,15
101381,ART,133,ART,14
101406,ART,180,ART,21
101599,ASTRON,120,PHYSICS,89
101599,ASTRON,120,PHYSICS,7A
101599,ASTRON,120,PHYSICS,7B
101599,ASTRON,120,PHYSICS,7C
101599,ASTRON,120,PHYSICS,5A
101599,ASTRON,120,PHYSICS,5B
101599,ASTRON,120,PHYSICS,5C
157491,ASTRON,128,PHYSICS,89
157491,ASTRON,128,DATA,C8
157491,ASTRON,128,DATA,C100
101609,ASTRON,160,PHYSICS,7A
101609,ASTRON,160,PHYSICS,7B
101609,ASTRON,160,PHYSICS,7C
101609,ASTRON,160,PHYSICS,5A
101609,ASTRON,160,PHYSICS,5B
101609,ASTRON,160,PHYSICS,5C
101652,ASTRON,7A,MATH,1A
101652,ASTRON,7A,MATH,1B
101652,ASTRON,7A,PHYSICS,5A
101652,ASTRON,7A,PHYSICS,5B
101652,ASTRON,7A,PHYSICS,5BL
101652,ASTRON,7A,PHYSICS,7A
101652,ASTRON,7A,PHYSICS,7B
124566,EPS,C162,PHYSICS,7A
124566,EPS,C162,PHYSICS,7B
124566,EPS,C162,PHYSICS,7C
161985,PHYSICS,C180,PHYSICS,7A
161985,PHYSICS,C180,PHYSICS,7B
161985,PHYSICS,C180,PHYSICS,7C
161985,PHYSICS,C180,PHYSICS,5
101996,BIOENG,10,MATH,51
101996,BIOENG,10,MATH,16A
101999,BIOENG,102,MATH,53
101999,BIOENG,102,MATH,54
101999,BIOENG,102,PHYSICS,7A
125338,BIOENG,103,PHYSICS,7A
125338,BIOENG,103,PHYSICS,7B
125338,BIOENG,103,MATH,51
125338,BIOENG,103,MATH,52
125338,BIOENG,103,MATH,53
125338,BIOENG,103,MATH,54
125338,BIOENG,103,BIOLOGY,1A
156602,BIOENG,105,MATH,53
156602,BIOENG,105,PHYSICS,7A
156602,BIOENG,105,PHYSICS,7B
102001,BIOENG,110,BIOLOGY,1A
102001,BIOENG,110,MATH,54
125340,BIOENG,114,BIOLOGY,1A
102007,BIOENG,121,CHEM,3A
102007,BIOENG,121,PHYSICS,7A
102007,BIOENG,121,PHYSICS,7B
102009,BIOENG,124,CHEM,3B
102013,BIOENG,140L,BIOLOGY,1A
102018,BIOENG,147,MATH,53
102018,BIOENG,147,MATH,54
102020,BIOENG,150,BIOLOGY,1A
102020,BIOENG,150,CHEM,1A
102024,BIOENG,163,CHEM,3A
102024,BIOENG,163,PHYSICS,7B
158769,CMPBIO,C131,ENGIN,7
163668,CMPBIO,C149,MATH,54
163668,CMPBIO,C149,ELENG,64
163668,CMPBIO,C149,ELENG,66
163668,CMPBIO,C149,COMPSCI,61A
163668,CMPBIO,C149,BIOENG,11
163668,CMPBIO,C149,BIOLOGY,1A
163668,CMPBIO,C149,BIOENG,131
124472,ELENG,C145B,ELENG,64
124472,ELENG,C145B,ELENG,66
102127,BIOLOGY,1A,CHEM,1A
102127,BIOLOGY,1A,CHEM,4A
102127,BIOLOGY,1A,BIOLOGY,1AL
102127,BIOLOGY,1A,CHEM,3A
102127,BIOLOGY,1A,CHEM,12A
102127,BIOLOGY,1A,BIOLOGY,1B
102127,BIOLOGY,1A,BIOLOGY,1A
102129,BIOLOGY,1AL,CHEM,1A
102129,BIOLOGY,1AL,CHEM,4A
102129,BIOLOGY,1AL,BIOLOGY,1A
102129,BIOLOGY,1AL,CHEM,3A
102129,BIOLOGY,1AL,CHEM,12A
157125,BURMESE,100B,BURMESE,1A
157125,BURMESE,100B,BURMESE,1B
102853,CELTIC,145A,CELTIC,15
102853,CELTIC,145A,CELTIC,85
102908,CHEM,115,CHEM,12B
102908,CHEM,115,CHEM,3B
102908,CHEM,115,CHEM,3BL
