course,requirement_group,option_id,prerequisite
AEROENG 10,1,1,MATH 51
AEROENG 10,2,1,PHYSICS 7A
AEROENG 10,3,1,MATH 52
AEROENG 10,4,1,MATH 53
AEROENG 10,5,1,COMPSCI 61A
AEROENG 10,5,2,ENGIN 7
AEROENG 100,1,1,MECENG 103
AEROENG 100,2,1,MECENG 104
AEROENG 100,3,1,MECENG 132
AEROENG 100,4,1,MECENG 106
AEROENG C124,1,1,ENGIN 40
MECENG C162,1,1,MATH 52
MECENG C162,2,1,PHYSICS 7A
ANTHRO 106,1,1,BIOLOGY 32
ANTHRO 127A,1,1,BIOLOGY 1B
ANTHRO 150,1,1,ANTHRO 3
ARABIC 100A,1,1,ARABIC 20B
ARABIC 100A,1,2,ARABIC 30
ARABIC 104A,1,1,ARABIC 20B
ARABIC 104A,1,2,ARABIC 30
ARABIC 1A,1,1,ARABIC 1B
ARABIC 1B,1,1,ARABIC 1A
ARABIC 20A,1,1,ARABIC 10
ARABIC 20A,1,2,ARABIC 1B
ARCH 100A,1,1,ARCH 11A
ARCH 100A,1,2,ARCH 11B
ARCH 100C,1,1,ARCH 100B
ARCH 150,1,1,PHYSICS 8A
ART 102,1,1,ART 13
ART 102,1,2,ART 8
ART 103,1,1,ART 13
ART 116,1,1,ART 12
ART 116,1,2,ART 8
ART 118,1,1,ART 12
ART 132,1,1,ART 15
ART 133,1,1,ART 14
ART 180,1,1,ART 21
ASTRON 120,1,1,PHYSICS 89
ASTRON 120,2,1,PHYSICS 5A
ASTRON 120,2,2,PHYSICS 5B
ASTRON 120,2,3,PHYSICS 5C
ASTRON 120,2,4,PHYSICS 7A
ASTRON 120,2,5,PHYSICS 7B
ASTRON 120,2,6,PHYSICS 7C
ASTRON 128,1,1,PHYSICS 89
ASTRON 128,2,1,DATA C100
ASTRON 128,2,2,DATA C8
ASTRON 160,1,1,PHYSICS 5A
ASTRON 160,1,2,PHYSICS 5B
ASTRON 160,1,3,PHYSICS 5C
ASTRON 160,1,4,PHYSICS 7A
ASTRON 160,1,5,PHYSICS 7B
ASTRON 160,1,6,PHYSICS 7C
ASTRON 7A,1,1,MATH 1A
ASTRON 7A,2,1,MATH 1B
ASTRON 7A,3,1,PHYSICS 5A
ASTRON 7A,3,2,PHYSICS 5B
ASTRON 7A,3,3,PHYSICS 5BL
ASTRON 7A,3,4,PHYSICS 7A
ASTRON 7A,3,5,PHYSICS 7B
EPS C162,1,1,PHYSICS 7C
EPS C162,2,1,PHYSICS 7B
EPS C162,3,1,PHYSICS 7A
PHYSICS C180,1,1,PHYSICS 5
PHYSICS C180,1,2,PHYSICS 7A
PHYSICS C180,1,3,PHYSICS 7B
PHYSICS C180,1,4,PHYSICS 7C
BIOENG 10,1,1,MATH 16A
BIOENG 10,1,2,MATH 51
BIOENG 102,1,1,MATH 54
BIOENG 102,2,1,PHYSICS 7A
BIOENG 102,3,1,MATH 53
BIOENG 103,1,1,MATH 54
BIOENG 103,2,1,MATH 51
BIOENG 103,3,1,PHYSICS 7A
BIOENG 103,4,1,MATH 53
BIOENG 103,5,1,PHYSICS 7B
BIOENG 103,6,1,MATH 52
BIOENG 103,7,1,BIOLOGY 1A
BIOENG 105,1,1,PHYSICS 7B
BIOENG 105,2,1,PHYSICS 7A
BIOENG 105,3,1,MATH 53
BIOENG 110,1,1,BIOLOGY 1A
BIOENG 110,2,1,MATH 54
BIOENG 114,1,1,BIOLOGY 1A
BIOENG 121,1,1,CHEM 3A
BIOENG 121,2,1,PHYSICS 7B
BIOENG 121,3,1,PHYSICS 7A
BIOENG 124,1,1,CHEM 3B
BIOENG 140L,1,1,BIOLOGY 1A
BIOENG 147,1,1,MATH 54
BIOENG 147,2,1,MATH 53
BIOENG 150,1,1,BIOLOGY 1A
BIOENG 150,2,1,CHEM 1A
BIOENG 163,1,1,PHYSICS 7B
BIOENG 163,2,1,CHEM 3A
CMPBIO C131,1,1,ENGIN 7
CMPBIO C149,1,1,ELENG 64
